Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.171.126.7-59.166.0.6-11076-23737-6,149.171.126.7,11076,59.166.0.6,23737,6,17/02/2015 09:52:15 PM,122,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24590.16393442623,61.0,82.02438661763951,119.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,8196.72131147541,16393.44262295082,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10136,5792,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.9-149.171.126.5-17863-53-17,59.166.0.9,17863,149.171.126.5,53,17,22/01/2015 03:39:01 PM,1068,2,2,90.0,122.0,45.0,45.0,45.0,0.0,61.0,61.0,61.0,0.0,198501.87265917604,3745.3183520599255,356.0,600.1574793335495,1049.0,8.0,11.0,11.0,0.0,11.0,11.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,16,16,1872.6591760299627,1872.6591760299627,45.0,61.0,51.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,64.25,45.0,61.0,0,0,0,212,4,198501,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.7-149.171.126.8-40595-5190-6,59.166.0.7,40595,149.171.126.8,5190,6,18/02/2015 02:07:51 AM,58512,20,21,902.0,1222.0,270.0,0.0,45.1,84.16331242230629,381.0,0.0,58.19047619047619,119.02042641816531,36300.24610336341,700.7109652720809,1462.8000000000002,6102.233509554368,34567.0,1.0,23038.0,1212.5263157894735,4191.627135246607,18426.0,1.0,57331.0,2866.55,8597.684128053872,34567.0,1.0,0,0,0,0,648,680,341.8102269619907,358.9007383100902,0.0,381.0,50.57142857142857,101.48630638305475,10299.470383275262,1,4,0,20,39,0,0,0,1.0,51.80487804878049,45.1,58.19047619047619,0,0,0,2124,20,37476,0,0,0,0,5792,13032,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.3-149.171.126.4-2043-53995-6,59.166.0.3,2043,149.171.126.4,53995,6,22/01/2015 01:19:30 PM,28419,46,47,470.0,28206.0,66.0,0.0,10.217391304347828,20.08417070838321,1300.0,0.0,600.1276595744681,619.1971174878586,1009043.2457158944,3272.4585664520214,308.90217391304344,898.6279658980814,7741.0,1.0,25433.0,565.1777777777778,1283.6185055057315,8043.0,1.0,27925.0,607.0652173913043,1333.0049996100945,8042.0,1.0,0,0,0,0,1480,1512,1618.635419965516,1653.8231464865055,0.0,1300.0,305.063829787234,527.1018103389462,277836.31846259435,1,4,0,46,91,0,0,0,1.0,308.3440860215054,10.217391304347826,600.1276595744681,0,0,0,28676,46,1054342,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.9-149.171.126.9-62839-16841-6,59.166.0.9,62839,149.171.126.9,16841,6,17/02/2015 10:35:08 PM,39438,58,59,486.0,46358.0,66.0,0.0,8.37931034482759,18.83709254785309,1300.0,0.0,785.7288135593224,620.8517183872734,1187788.4274050407,2966.6818804199,339.9827586206897,877.5471842412322,5163.0,0.0,34304.0,601.8245614035087,1175.4821673741103,5518.0,0.0,38734.0,667.8275862068965,1309.0851518003888,5891.0,1.0,0,0,0,0,1864,1896,1470.6628125158477,1496.019067904052,0.0,1300.0,396.9830508474578,586.2333624639818,343669.55526582635,1,4,0,58,115,0,0,0,1.0,400.3760683760684,8.379310344827585,785.728813559322,0,0,0,46844,58,1233126,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.2-149.171.126.2-62691-17917-6,59.166.0.2,62691,149.171.126.2,17917,6,22/01/2015 01:47:50 PM,40598,58,59,470.0,42226.0,66.0,0.0,8.103448275862071,18.32713418813508,1300.0,0.0,715.6949152542373,641.8351989100523,1051677.4225331296,2881.9153652889304,349.98275862068954,956.3259039065912,5721.0,1.0,35527.0,623.280701754386,1304.6441051980692,6012.0,1.0,39984.0,689.3793103448277,1418.6511981528683,5998.0,1.0,0,0,0,0,1864,1896,1428.6418050150253,1453.273560273905,0.0,1300.0,361.8305084745762,575.0392971348235,330670.1932493119,1,4,0,58,115,0,0,0,1.0,364.9230769230769,8.10344827586207,715.6949152542373,0,0,0,42696,58,1088350,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.7-149.171.126.0-25622-6881-6,59.166.0.7,25622,149.171.126.0,6881,6,22/01/2015 08:02:10 AM,19693,14,15,700.0,700.0,277.0,0.0,49.99999999999999,99.13316607162618,277.0,0.0,46.66666666666666,96.39551461606104,71091.25069821764,1472.604478748794,703.3214285714286,1363.6366153719505,4952.0,0.0,19370.0,1490.0,2375.602204354368,6282.0,1.0,19234.0,1373.857142857143,2501.7725057106354,8253.0,0.0,0,0,0,0,456,488,710.9125069821764,761.6919717666176,0.0,277.0,46.66666666666666,94.7189429888211,8971.67816091954,1,4,0,12,27,0,0,0,1.0,48.27586206896552,50.0,46.66666666666666,0,0,0,1400,12,100784,0,0,0,0,5792,10136,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.1-149.171.126.6-22851-143-6,59.166.0.1,22851,149.171.126.6,143,6,22/01/2015 03:53:55 PM,36827,120,123,1466.0,8430.0,175.0,0.0,12.21666666666667,27.08101239785908,1448.0,0.0,68.53658536585367,199.67634848009183,268715.8877997122,6598.41963776577,152.1776859504132,280.73603141392806,2248.0,1.0,35768.0,300.57142857142867,555.8836845079904,3340.0,1.0,36333.0,297.81147540983625,454.99843487092926,2248.0,1.0,0,0,0,0,3848,3944,3258.4788334645777,3339.940804301192,0.0,1448.0,40.557377049180346,145.52032647917682,21176.165418606208,1,4,0,118,241,0,0,0,1.0,40.72427983539095,12.216666666666669,68.53658536585365,0,0,0,9896,120,281128,0,0,0,0,5792,47784,58,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.7-149.171.126.3-10409-53-17,59.166.0.7,10409,149.171.126.3,53,17,17/02/2015 10:17:43 PM,1150,2,2,90.0,122.0,45.0,45.0,45.0,0.0,61.0,61.0,61.0,0.0,184347.8260869565,3478.260869565217,383.33333333333337,650.9641567193491,1135.0,6.0,9.0,9.0,0.0,9.0,9.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,16,16,1739.1304347826087,1739.1304347826087,45.0,61.0,51.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,64.25,45.0,61.0,0,0,0,212,4,184347,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.4-149.171.126.1-2018-111-17,59.166.0.4,2018,149.171.126.1,111,17,22/01/2015 05:30:30 PM,198280,4,4,456.0,208.0,114.0,114.0,114.0,0.0,52.0,52.0,52.0,0.0,3348.799677224127,40.346984062941296,28325.714285714283,43531.32190624082,93628.0,8.0,183036.0,61012.0,105656.83131250908,183014.0,11.0,108891.0,36297.0,62840.53585863188,108859.0,8.0,0,0,0,0,32,32,20.173492031470648,20.173492031470648,52.0,114.0,86.44444444444444,32.676869155073256,1067.7777777777778,0,0,0,0,0,0,0,0,1.0,97.25,114.0,52.0,0,0,0,664,8,3348,0,0,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.9-149.171.126.6-60361-53-17,59.166.0.9,60361,149.171.126.6,53,17,17/02/2015 09:05:56 PM,1276,2,2,74.0,106.0,37.0,37.0,37.0,0.0,53.0,53.0,53.0,0.0,141065.83072100312,3134.796238244514,425.33333333333337,722.8432287386618,1260.0,7.0,9.0,9.0,0.0,9.0,9.0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,16,16,1567.398119122257,1567.398119122257,37.0,53.0,43.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,54.25,37.0,53.0,0,0,0,180,4,141065,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.2-149.171.126.7-51090-25792-6,59.166.0.2,51090,149.171.126.7,25792,6,18/02/2015 05:51:11 AM,314,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9554.140127388537,157.0,219.2031021678297,312.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,3184.7133757961783,6369.426751592357,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,34752,14480,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.3-149.171.126.7-2302-5190-6,59.166.0.3,2302,149.171.126.7,5190,6,18/02/2015 12:30:17 AM,357,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8403.361344537814,178.5,249.60869375885127,355.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,2801.1204481792715,5602.240896358543,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,13032,13032,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.6-149.171.126.6-28914-25-6,59.166.0.6,28914,149.171.126.6,25,6,22/01/2015 04:53:43 PM,358209,50,39,34610.0,1188.0,1448.0,0.0,692.2,719.5914940904644,287.0,0.0,30.461538461538467,65.51570569190027,99936.07084132449,248.4583022760456,4070.5568181818185,15208.94207468808,72187.0,1.0,353685.0,7218.061224489795,20190.591110514983,72981.0,1.0,357666.0,9412.263157894737,22945.7629577371,75018.0,2.0,0,0,0,0,1608,1256,139.58331588541884,108.8749863906267,0.0,1448.0,397.75555555555553,629.6982389683175,396519.87215980026,1,4,0,36,87,0,0,0,0.0,402.2247191011236,692.2,30.46153846153846,0,0,0,35798,48,100410,0,0,0,0,5792,30408,34,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.8-149.171.126.4-31955-18918-6,59.166.0.8,31955,149.171.126.4,18918,6,22/01/2015 12:46:15 PM,37482,58,59,486.0,42164.0,66.0,0.0,8.37931034482759,18.83709254785309,1300.0,0.0,714.6440677966102,613.8304765052123,1137879.5155007737,3121.4983191932124,323.1206896551724,977.4873926034292,9843.0,0.0,35403.0,621.1052631578948,1499.832213046924,10652.0,1.0,36929.0,636.7068965517243,1442.8624937051616,10070.0,0.0,0,0,0,0,1864,1896,1547.4094231897975,1574.088896003415,0.0,1300.0,361.4406779661017,559.2638712159043,312776.0776473995,1,4,0,58,115,0,0,0,1.0,364.52991452991455,8.379310344827585,714.6440677966102,0,0,0,42650,58,1186799,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.1-149.171.126.4-60672-58850-6,59.166.0.1,60672,149.171.126.4,58850,6,17/02/2015 10:58:02 PM,191621,58,59,486.0,46110.0,66.0,0.0,8.37931034482759,18.83709254785309,1300.0,0.0,781.5254237288134,617.0251868757397,243167.50251799123,610.5802599923808,1651.905172413793,3745.679054888964,21693.0,1.0,185517.0,3254.684210526316,5012.859325054111,21923.0,1.0,191070.0,3294.3103448275856,4942.011861107751,21984.0,1.0,0,0,0,0,1864,1896,302.6808126457956,307.8994473465852,0.0,1300.0,394.88135593220335,582.8188818587959,339677.8490511371,1,4,0,58,115,0,0,0,1.0,398.2564102564103,8.379310344827585,781.5254237288135,0,0,0,46596,58,250200,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.4-149.171.126.8-12006-39812-6,59.166.0.4,12006,149.171.126.8,39812,6,18/02/2015 01:28:25 AM,310,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9677.41935483871,155.0,217.78888860545663,309.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,32,64,3225.8064516129034,6451.612903225807,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,23168,14480,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
175.45.176.2-149.171.126.19-62562-179-6,175.45.176.2,62562,149.171.126.19,179,6,18/02/2015 04:45:14 AM,69744,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69075476026612,17436.0,27397.75369137648,57634.0,5.0,57639.0,28819.5,40749.85669299955,57634.0,5.0,10.0,10.0,0.0,10.0,10.0,0,0,0,0,60,40,43.01445285615967,28.676301904106445,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fuzzers
59.166.0.1-149.171.126.9-33236-80-6,59.166.0.1,33236,149.171.126.9,80,6,22/01/2015 11:48:05 AM,341,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8797.653958944282,170.5,238.2949852598665,339.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,2932.551319648094,5865.102639296188,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11584,8688,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.5-149.171.126.1-64195-5190-6,59.166.0.5,64195,149.171.126.1,5190,6,18/02/2015 04:35:08 AM,413,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7263.922518159806,206.5,286.37824638055173,409.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,32,64,2421.3075060532688,4842.6150121065375,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14480,13032,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.6-149.171.126.5-38960-5190-6,59.166.0.6,38960,149.171.126.5,5190,6,22/01/2015 07:24:33 PM,152945,19,13,318.0,992.0,114.0,0.0,16.736842105263158,35.452381373177744,458.0,0.0,76.30769230769229,169.70532530211725,8565.170486122463,209.2255385923044,4933.709677419356,14878.9942428771,76429.0,1.0,152546.0,8474.777777777777,19080.606463279302,76429.0,1.0,152339.0,12694.916666666664,22707.15970172617,77545.0,2.0,0,0,0,0,616,424,124.22766353918075,84.99787505312368,0.0,458.0,39.696969696969695,111.41686498475131,12413.717803030306,2,4,0,14,30,0,0,0,0.0,40.9375,16.736842105263158,76.3076923076923,0,0,0,1310,14,8693,0,0,0,0,5792,11584,8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.8-149.171.126.2-24780-58720-6,59.166.0.8,24780,149.171.126.2,58720,6,22/01/2015 05:27:40 PM,9007,34,35,454.0,14838.0,66.0,0.0,13.35294117647059,21.883828750570903,1300.0,0.0,423.9428571428572,585.4538180840942,1697790.6073054292,7660.708337959365,132.45588235294116,209.60420653631283,716.0,0.0,7970.0,241.5151515151516,374.3612995166001,1017.0,0.0,8515.0,250.4411764705882,380.18107258264337,993.0,1.0,0,0,0,0,1096,1128,3774.841789719108,3885.866548240258,0.0,1300.0,218.45714285714288,460.39355205555074,211962.22277432712,1,4,0,34,67,0,0,0,1.0,221.6231884057971,13.352941176470589,423.9428571428571,0,0,0,15292,34,1967575,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.2-149.171.126.1-29193-20707-6,59.166.0.2,29193,149.171.126.1,20707,6,18/02/2015 12:33:03 AM,14464,42,43,454.0,24184.0,66.0,0.0,10.80952380952381,20.337683508684545,1300.0,0.0,562.4186046511628,634.3083309347629,1703401.5486725664,5876.659292035399,172.19047619047615,298.75442129875444,1661.0,0.0,13003.0,317.1463414634146,480.07195090817424,1896.0,0.0,13876.0,330.3809523809524,523.288846803861,2054.0,0.0,0,0,0,0,1352,1384,2903.761061946903,2972.898230088496,0.0,1300.0,286.48837209302314,525.3959122120037,276040.8645690835,1,4,0,42,83,0,0,0,1.0,289.8588235294118,10.80952380952381,562.4186046511628,0,0,0,24638,42,1875894,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
